datetime,low,high,open,close,volume,modified
2021-05-23 23:02:00,3.501,3.538,3.508,3.526,1139.27,2021-05-24 04:08:01.880790+00:00
2021-05-23 23:03:00,3.514,3.535,3.529,3.529,797.01,2021-05-24 04:08:01.880790+00:00
2021-05-23 23:04:00,3.518,3.549,3.53,3.526,3591.38,2021-05-24 04:08:01.880790+00:00
2021-05-23 23:05:00,3.51,3.551,3.528,3.525,4954.16,2021-05-24 04:08:01.880790+00:00
2021-05-23 23:06:00,3.515,3.525,3.516,3.524,507.87,2021-05-24 04:08:01.880790+00:00
2021-05-23 23:07:00,3.519,3.538,3.519,3.527,2850.55,2021-05-24 04:13:08.321791+00:00
2021-05-23 23:08:00,3.52,3.53,3.53,3.521,246.0,2021-05-24 04:13:08.321791+00:00
2021-05-23 23:09:00,3.513,3.531,3.528,3.524,1730.83,2021-05-24 04:13:08.321791+00:00
2021-05-23 23:10:00,3.516,3.535,3.517,3.529,415.17,2021-05-24 04:13:08.321791+00:00
2021-05-23 23:11:00,3.518,3.525,3.525,3.518,173.62,2021-05-24 04:13:08.321791+00:00
2021-05-23 23:12:00,3.515,3.539,3.516,3.539,2535.59,2021-05-24 04:18:37.932180+00:00
2021-05-23 23:13:00,3.513,3.539,3.533,3.529,1596.49,2021-05-24 04:18:37.932180+00:00
2021-05-23 23:14:00,3.52,3.538,3.529,3.528,1570.24,2021-05-24 04:18:37.932180+00:00
2021-05-23 23:15:00,3.522,3.538,3.537,3.529,426.19,2021-05-24 04:18:37.932180+00:00
2021-05-23 23:16:00,3.531,3.54,3.537,3.54,2040.94,2021-05-24 04:18:37.932180+00:00
2021-05-23 23:17:00,3.531,3.573,3.533,3.556,4841.0,2021-05-24 04:23:56.804799+00:00
2021-05-23 23:18:00,3.533,3.569,3.554,3.552,1316.8,2021-05-24 04:23:56.804799+00:00
2021-05-23 23:19:00,3.528,3.57,3.555,3.552,2309.76,2021-05-24 04:23:56.804799+00:00
2021-05-23 23:20:00,3.537,3.582,3.539,3.557,1067.06,2021-05-24 04:23:56.804799+00:00
2021-05-23 23:21:00,3.54,3.572,3.547,3.54,620.83,2021-05-24 04:23:56.804799+00:00
